,result,table,_start,_stop,_time,_value,_field,_measurement,device_id,orig_adapter
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-12T12:00:00Z,,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-12T12:10:00Z,0,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-12T12:20:00Z,0,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-12T12:30:00Z,0,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-12T12:40:00Z,0,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-12T12:50:00Z,0,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-12T13:00:00Z,,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-12T13:10:00Z,0,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-12T13:20:00Z,0,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-12T13:30:00Z,0,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-12T13:40:00Z,0,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-12T13:50:00Z,,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-12T14:00:00Z,0,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-12T14:10:00Z,0,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-12T14:20:00Z,0,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-12T14:30:00Z,0,lux,telemetry,Upi_iotdev_9,hono-mqtt
